word,frequency
But,2448
back,2058
So,1664
ain,1626
My,1455
em,1350
The,1195
Cause,1192
make,1135
time,1125
man,1113
Shady,1089
ya,1072
We,1030
That,979
wanna,937
love,933
apos,930
Now,910
gonna,887
ass,864
Slim,826
Just,778
feel,776
give,733
ve,706
put,681
This,681
If,646
Yeah,644
What,636
life,626
To,621
When,614
baby,610
won,602
yeah,600
Oh,570
No,566
call,563
world,557
They,554
girl,545
He,545
All,536
hit,533
Eminem,530
stand,526
day,513
rap,507
bad,494
Dre,489
stop,485
hear,460
run,451
head,451
game,444
gotta,419
crazy,419
leave,411
In,408
real,402
dont,397
people,393
play,390
Don,387
Marshall,386
Mathers,385
made,379
good,378
Like,378
ma,378
face,361
There,356
Who,354
aint,351
boy,347
gon,345
thing,343
kill,339
sick,338
shot,337
She,337
beat,335
hate,333
mind,331
show,331
guess,329
music,328
left,325
home,318
With,315
blow,315
Let,314
told,313
Back,312
huh,311
mother,310
ahh,309
didn,305
