word,frequency
ain,1023
yeah,957
We,634
Yeah,539
love,466
back,442
gon,403
money,392
time,390
wanna,379
My,377
All,374
They,363
Got,350
baby,328
make,325
em,320
She,313
tam,267
put,264
The,262
girl,252
That,243
gotta,240
life,236
real,232
give,232
feel,231
tryna,227
Nayvadius,212
Wilburn,210
Tony,205
made,205
bum,199
Montana,196
bad,192
ma,192
hoes,187
Ain,179
When,178
told,176
ve,174
won,168
day,166
Cause,165
Go,164
high,163
ho,163
lookin,162
bout,161
hit,160
head,160
er,158
goin,157
gettin,156
mine,152
But,146
radical,145
These,144
cold,141
crazy,140
If,138
young,137
heart,135
call,134
ooh,134
On,133
lot,133
diamonds,133
man,131
Don,130
Tell,130
deserve,128
This,128
What,127
ass,127
watch,126
cash,124
Let,123
Future,123
ya,123
good,122
bag,122
stay,121
walk,120
magic,119
face,118
Oh,118
wicked,118
heard,117
check,116
talk,115
bought,115
turn,114
Now,112
play,112
damn,111
Put,110
big,110
leave,109
