word,frequency
yeah,553
ain,473
Yeah,465
But,455
make,318
wanna,311
If,276
She,275
They,269
love,264
money,237
Gerald,211
back,208
feel,196
ba,196
We,193
This,190
life,190
time,190
night,180
Cause,178
ve,168
Don,164
lotta,164
The,162
My,160
Just,156
Gillum,146
That,139
Let,137
baby,136
girl,135
oooh,134
So,131
All,128
What,126
lot,122
tonight,120
ayy,119
day,118
bout,114
rock,112
tryna,110
bad,109
When,107
ya,107
mind,106
gotta,106
big,104
good,104
call,103
man,101
put,99
Got,96
girls,95
made,95
long,93
Now,93
Oh,91
lost,91
world,90
real,90
high,89
Ayy,89
em,88
told,88
gon,86
give,85
guala,84
boy,81
year,80
uh,80
hate,79
stay,79
Eazy,79
throw,79
face,78
No,78
gettin,76
fast,76
heart,74
plan,74
ma,73
Uh,73
In,72
party,71
game,70
dreams,70
How,69
hit,69
Like,68
live,67
Take,67
Gotta,67
work,66
head,65
city,65
won,65
cash,64
fly,63
