word,frequency
ain,576
ass,539
Cause,412
But,406
ya,406
wanna,404
Ice,383
Cube,380
The,371
man,345
back,345
So,329
em,328
They,323
make,319
Now,304
yo,275
We,255
If,239
Don,225
That,206
love,205
put,201
mother,200
money,194
give,187
world,186
gotta,182
hit,182
This,182
gangsta,181
day,180
black,178
Get,173
When,171
yeah,169
No,168
What,168
big,166
life,164
drop,155
Yo,155
call,153
Yeah,150
All,147
To,145
My,140
rap,139
check,139
show,138
West,135
bad,135
house,131
time,129
hood,127
run,125
good,122
cop,120
In,119
game,119
Then,118
won,117
white,113
With,113
people,112
Just,109
girl,109
God,108
thing,105
Who,105
full,103
Make,102
Keep,101
club,100
made,99
gettin,99
Chorus,98
head,96
didn,95
boy,95
stop,94
lookin,94
bout,94
Jackson,94
baby,90
cube,90
kids,89
gonna,88
nothin,88
hate,87
play,86
How,86
tryin,85
ready,85
damn,85
wit,84
ma,83
beat,82
comin,82
Verse,82
