word,frequency
ain,1046
But,703
yeah,614
back,602
man,579
love,565
Yeah,486
make,467
wanna,458
time,426
The,424
She,405
Cole,392
hit,388
My,361
life,354
em,350
bout,300
Cause,296
Now,293
real,293
girl,292
So,292
If,287
gon,282
money,271
God,269
Don,267
good,265
That,264
feel,259
This,257
thing,250
No,249
tryna,248
We,248
baby,237
gotta,231
won,222
ass,221
They,221
give,217
day,209
uh,206
put,204
hoes,204
ya,203
world,199
long,197
ve,195
high,193
Like,192
night,192
home,190
told,188
made,187
Just,186
Hey,184
mind,174
game,174
gga,173
Oh,167
call,166
la,162
hard,159
hey,155
How,155
sh,153
What,153
Can,152
bad,152
lot,152
All,151
boy,150
things,146
mama,146
When,145
ma,143
show,142
thought,142
yo,140
pain,139
damn,138
Who,135
run,130
He,130
heart,129
smoke,128
city,127
live,127
Got,127
head,122
Jermaine,122
play,120
For,120
find,119
big,119
Is,119
wait,117
work,114
