word,frequency
ain,290
The,180
ya,171
make,144
love,141
Yeah,132
yeah,132
Me,129
somethin,124
talk,121
uh,115
We,114
gotta,110
They,107
back,104
em,104
money,102
wanna,102
If,102
bout,100
Uh,100
When,98
What,98
gon,95
life,90
But,88
Don,85
kill,85
time,78
real,77
Who,71
All,70
So,69
huntin,68
girl,67
season,65
hood,64
Cause,64
put,63
No,63
Why,63
good,61
Jason,61
game,58
man,57
wit,56
talking,56
Phillips,55
baby,54
ve,53
stop,52
nothin,52
Jadakiss,51
That,51
gonna,51
Your,50
gettin,49
Oh,49
anymore,48
play,47
top,47
Now,46
hard,46
gun,46
yo,46
She,44
head,44
Yo,43
Nah,43
ground,43
This,42
Can,42
give,41
New,41
feel,41
kiss,40
My,40
world,40
work,40
sky,40
live,40
God,40
hot,39
goin,39
shine,39
day,38
move,38
thing,38
rappers,38
Real,38
ma,37
streets,36
long,36
huh,36
City,36
York,36
hold,35
Block,35
Knock,35
ride,34
