word,frequency
ain,899
back,790
love,667
life,647
The,636
ya,636
em,619
But,616
We,529
So,515
make,490
gotta,470
yeah,453
time,436
That,417
uh,416
Jay,405
man,402
Now,394
wanna,387
Jigga,362
baby,362
money,350
feel,340
My,339
huh,327
hard,316
real,313
Yeah,306
They,296
wit,296
game,292
All,292
put,292
give,288
This,287
What,283
If,281
Can,277
stop,274
rap,263
When,258
day,256
To,256
girls,255
gon,253
izz,253
In,246
Hov,244
Let,243
mind,231
Get,229
gonna,228
Cause,227
big,226
bounce,222
No,220
boy,219
Carter,217
high,217
ride,214
world,213
made,208
Got,208
flow,206
live,205
young,204
apos,195
hoes,193
keys,188
Uh,188
good,183
knock,182
play,182
night,181
girl,181
change,178
bad,172
run,170
hit,169
thing,169
Roc,168
Don,167
top,167
hey,167
tryin,166
Who,166
stay,163
On,161
leave,161
She,161
yo,158
Just,158
bring,156
How,154
eyes,154
ma,154
God,152
bout,149
song,149
