word,frequency
yeah,471
ya,466
The,427
back,414
ain,391
Yeah,381
em,337
money,336
They,279
make,258
time,257
man,222
That,220
So,218
gotta,212
hood,198
My,196
life,196
If,194
wit,187
Got,185
What,182
hard,181
bout,180
In,179
All,178
We,171
When,166
love,156
But,154
This,154
On,151
call,151
put,148
gon,144
ay,143
real,142
Let,137
day,132
game,132
boy,130
Cause,128
talk,128
Just,127
white,126
Go,125
night,125
big,123
ass,121
ha,116
Jeezy,116
city,114
She,114
Get,114
block,112
Like,112
top,111
hit,110
Jenkins,108
streets,104
Put,102
high,102
Now,99
good,98
baby,98
OK,97
With,95
feel,94
world,94
Me,94
young,93
bad,90
hoes,89
aint,88
work,88
Young,87
ve,87
nothin,86
hold,86
half,85
See,84
Im,84
dog,84
No,83
One,83
talkin,83
wanna,82
rock,82
mind,81
ma,81
thing,78
eyes,78
gonna,77
Jay,77
trap,76
im,76
paper,76
Then,76
damn,76
straight,76
