word,frequency
yeah,369
love,288
She,215
Yeah,213
huh,168
ain,163
All,162
wanna,160
heart,160
ayy,148
feel,148
hey,141
But,138
hate,129
Uh,126
time,119
uh,112
man,110
ma,109
baby,106
Let,99
drugs,94
woah,92
told,92
won,92
thing,92
gon,88
Now,85
make,81
back,76
girl,76
They,76
mind,75
bad,75
Wasted,74
wasted,73
day,72
My,71
God,71
swear,70
boy,70
We,70
Woah,68
head,66
moves,66
Night,65
high,64
good,64
No,64
made,64
put,63
tryna,63
give,62
That,62
em,62
fast,62
money,61
ve,61
face,60
real,58
Oh,57
night,54
ooh,54
On,53
die,52
This,52
So,52
end,51
bag,51
leave,50
In,50
gave,50
dig,50
play,48
Cause,47
tch,47
Don,46
yuh,46
friends,45
break,45
run,45
cash,45
replace,44
Like,43
change,43
gotta,42
hell,42
room,41
Get,41
hoes,40
The,40
Boy,40
lost,40
Long,40
hit,39
molly,38
past,38
whoa,38
lies,38
Just,36
