word,frequency
love,603
But,544
We,542
The,483
ain,477
make,433
ya,433
So,411
back,404
That,399
Kanye,390
man,385
Now,381
life,352
la,344
feel,340
time,335
West,331
They,324
What,316
good,313
em,306
No,291
She,281
baby,276
girl,273
ve,272
uh,264
Yeah,254
gon,250
Cause,250
wanna,248
home,248
Oh,246
money,242
told,236
night,234
My,228
If,225
yeah,224
day,223
God,215
This,209
real,205
All,204
Don,201
When,197
Let,195
Can,191
hey,186
bout,178
gonna,177
made,177
put,174
bad,173
gotta,170
hands,168
forever,168
things,167
stop,165
give,165
Uh,165
How,163
lights,158
ass,158
talk,156
high,155
thing,155
ma,152
To,150
people,147
Jesus,146
He,146
black,145
In,141
sky,140
Get,140
work,139
call,135
world,134
head,130
long,127
guess,127
yo,126
Hey,125
clique,123
wrong,122
til,121
hear,120
Just,119
hit,119
Tell,119
Yee,118
show,117
Do,116
find,116
amazing,113
hard,112
boy,111
Your,110
