word,frequency
ain,455
love,372
The,355
feel,352
life,348
wanna,348
But,342
kill,328
time,305
back,302
That,301
make,295
We,282
My,253
So,242
Kendrick,236
This,230
em,228
If,227
put,226
day,216
gon,216
yeah,211
vibe,208
They,207
world,206
When,204
real,204
man,199
good,199
gotta,198
live,188
hol,187
All,183
God,182
high,180
die,172
won,165
Don,164
give,160
She,154
money,153
black,143
city,142
inside,139
made,139
bout,139
ve,138
ass,137
Now,136
mind,132
drank,131
To,130
In,130
Just,126
What,126
head,126
He,124
baby,123
big,122
full,119
Cause,117
people,116
lil,115
ya,115
Compton,113
tryna,112
Lamar,112
run,110
Oh,110
Then,109
play,108
hit,107
With,104
Is,102
Tell,99
ride,99
Hol,96
Yeah,95
night,95
gonna,95
Look,94
Like,93
feeling,93
No,90
dead,90
call,89
light,88
hard,87
hate,87
homies,86
Or,86
Lord,85
Let,84
watch,84
girl,82
hear,82
yo,82
beat,81
turn,81
