word,frequency
love,116
But,78
The,77
Oh,66
Now,62
matters,56
ve,53
lost,51
marching,50
baby,47
Zion,47
Nothing,46
back,45
To,45
When,44
win,44
gonna,39
make,39
bad,37
So,36
That,36
What,36
Tell,35
If,34
ain,34
Cause,34
mind,33
alright,33
time,32
lose,32
things,31
They,30
thing,30
give,29
Mr,29
hurts,29
yeah,28
Everything,28
men,27
Hill,27
Why,26
won,26
life,26
beautiful,26
How,26
free,26
die,26
man,25
Intentional,25
Is,25
people,24
See,23
heart,23
eyes,23
yo,23
Let,23
feel,22
joy,22
good,21
freedom,21
Give,21
He,21
God,20
rebel,20
Who,19
rain,19
My,19
Just,19
Lauryn,19
Wyclef,19
hold,18
money,18
live,18
face,18
gotta,18
Guantanamera,18
Marching,18
Teacher,18
forget,17
We,17
care,17
fall,16
All,16
Can,16
made,16
ya,16
world,16
Yo,16
sweet,16
silly,16
Music,16
light,16
mon,16
power,16
Jerusalem,16
telling,15
There,15
Please,15
Black,15
guantanamera,15
