word,frequency
yeah,1343
Yeah,1078
ain,491
girl,468
She,402
money,399
wanna,301
make,266
That,244
Uzi,241
My,221
What,209
Woah,206
All,199
back,198
gon,188
Lil,186
tch,185
No,184
Got,181
diamonds,179
woah,174
uh,168
ayy,168
Let,165
But,153
put,150
Now,142
swear,136
We,135
If,135
love,134
hit,132
gga,132
Oh,127
They,126
ma,123
talk,123
time,122
Ayy,121
baby,121
Uh,119
real,118
lil,117
boy,116
bad,116
So,115
face,114
made,114
gotta,114
move,111
bands,109
man,107
Ooh,106
feel,105
drop,103
call,102
life,102
hundred,99
Like,98
bout,98
Diamonds,97
phone,97
On,96
top,96
wrist,96
em,95
safe,93
ho,93
show,93
head,93
damn,92
unfazed,92
give,91
wait,91
ay,91
pull,89
bank,89
When,88
shoot,88
ggas,86
lose,86
Pull,86
ass,86
run,86
told,84
whip,84
Cause,84
lot,84
loaded,84
stay,83
pose,83
bag,81
Don,79
pop,79
Look,79
Okay,76
This,76
lie,75
white,75
