word,frequency
ya,1859
ain,1796
em,1367
money,1266
Yeah,1191
man,1152
She,1122
But,1116
back,1095
yeah,1091
make,926
love,912
We,873
baby,849
That,847
So,781
call,758
Now,756
The,743
My,734
good,730
cash,729
Where,699
head,675
ass,660
yo,624
put,615
If,611
time,596
Wayne,590
Weezy,581
Lil,575
wanna,549
Don,548
ma,547
Money,542
Got,533
girl,528
boy,515
mma,496
bout,490
Cause,479
They,462
lookin,458
gon,455
wit,450
This,449
Like,444
gotta,437
real,432
rapper,432
Carter,431
What,412
da,404
hoes,403
hit,397
Young,391
game,390
give,381
Baby,379
young,375
Then,373
Oh,368
tryin,365
feel,359
pop,353
hot,351
No,349
talk,341
life,336
mother,332
Who,331
ride,330
Wee,328
All,318
In,315
When,310
With,310
poppin,305
stop,302
hard,302
bottles,294
Get,289
drop,288
leave,288
die,288
ve,288
See,286
day,283
Ooh,282
lil,280
face,277
big,276
Let,273
mind,268
night,267
told,265
long,260
bad,259
play,257
