word,frequency
ya,236
awff,160
ain,155
Kim,145
em,137
Go,130
wanna,128
love,126
back,109
Now,98
make,97
The,97
Lil,96
yeah,90
uh,90
give,90
time,87
Queen,85
bum,83
We,79
good,79
put,79
But,79
shake,79
All,78
catch,78
man,77
If,77
Oh,75
So,74
ma,74
real,70
gon,69
Yeah,68
My,68
Cause,65
night,65
What,63
When,63
bag,62
This,61
day,61
money,61
That,60
gotta,60
yo,58
He,57
Bee,56
baby,54
stay,52
feel,52
They,51
big,51
ass,50
girl,50
Got,50
hold,50
life,49
pa,49
In,46
bad,46
box,44
pray,43
Don,42
How,42
da,42
She,41
stop,41
call,40
gonna,40
heard,40
run,39
head,39
Uh,37
world,37
No,37
Hold,37
hear,36
huh,36
hot,35
wit,35
Bum,35
kitty,34
ride,34
true,34
Come,33
play,33
front,33
Just,32
ve,32
game,32
boy,32
hit,32
whoa,32
spicy,32
tryin,31
leave,31
drown,31
high,31
Like,31
