word,frequency
But,548
ain,533
Yeah,525
ve,489
back,441
love,415
feel,399
man,391
yeah,388
life,366
wanna,357
time,319
em,293
money,290
day,275
That,274
God,274
make,266
This,265
mind,259
Cause,247
give,234
world,231
The,231
people,222
All,217
Now,216
What,215
gotta,210
We,209
girl,199
So,198
My,189
They,183
Oh,182
real,181
ma,176
If,165
good,163
Like,155
When,152
Don,149
Logic,149
No,148
Everybody,147
gon,145
live,145
tryna,139
hard,138
uh,137
boy,137
die,135
bout,135
game,134
Bobby,134
hit,130
high,123
long,122
ya,122
Tell,121
damn,120
Just,120
feeling,118
made,118
nah,118
night,117
On,116
ballin,114
In,113
call,113
Robert,111
Never,110
flow,109
gonna,109
alive,109
Hall,107
Who,107
Sir,105
Let,105
hate,105
thing,104
show,102
run,101
living,100
put,98
black,98
music,97
talk,92
Can,91
baby,90
leave,89
things,87
fame,86
la,85
Do,85
Come,83
With,82
Man,82
white,82
mother,82
