word,frequency
So,388
em,361
But,358
My,356
back,339
wanna,324
ya,300
ain,288
make,282
man,260
yo,255
Cause,253
love,250
They,241
The,240
put,235
baby,225
girl,221
chick,220
time,219
If,218
money,216
She,201
Yeah,192
ass,191
girls,171
Get,165
How,162
When,155
hey,154
life,154
bad,152
give,151
low,150
We,149
Ludacris,148
That,147
Now,147
ho,142
Luda,141
feel,135
bout,130
gotta,127
sleep,127
Oh,126
game,121
night,115
yeah,114
hoes,111
women,110
hit,109
What,109
good,108
party,108
head,107
Let,107
gonna,106
move,105
hood,105
world,102
gettin,101
call,101
top,101
wit,99
real,96
ve,92
Don,91
live,89
stay,88
ma,88
Ho,88
streets,88
In,87
Then,87
til,87
talk,87
stop,86
phone,84
hundred,83
gon,82
blow,82
people,81
sayin,80
bet,80
roll,79
All,78
da,78
Just,78
hell,78
Got,78
mouth,77
Like,77
heard,76
thing,76
show,75
To,74
Come,74
Tell,74
day,73
big,73
