word,frequency
ain,454
ya,386
make,344
But,329
We,281
bout,251
back,246
man,245
wanna,226
ride,215
game,214
Where,209
love,207
real,196
girl,196
yo,191
Don,189
life,184
em,184
No,182
fool,181
ghetto,180
ass,177
Master,177
time,175
Cause,170
mother,167
The,167
thug,156
boy,155
hood,151
limit,149
Now,143
act,141
gotta,137
So,135
That,130
baby,124
gon,121
put,120
stop,117
Limit,117
hoes,113
My,111
money,107
They,105
All,102
shake,94
Chorus,94
live,93
boom,91
give,90
wit,90
side,89
If,87
good,85
soldiers,85
die,83
club,83
gonna,82
See,81
ready,80
roll,78
play,78
run,76
day,75
talk,75
feel,74
big,74
Got,72
hard,72
home,71
top,71
change,70
black,69
heard,69
When,68
aint,68
leave,67
thing,67
This,66
Just,66
gold,66
told,65
What,65
streets,64
Verse,64
homies,64
head,63
high,63
rock,63
wall,63
made,63
Who,63
call,62
face,62
thought,62
thugs,61
dead,60
hit,60
