word,frequency
ya,179
yo,120
ain,114
back,112
The,94
Meth,93
em,86
real,83
man,81
We,78
yeah,77
Yo,74
Man,73
Tical,73
Yeah,70
love,70
That,69
make,68
Big,65
time,64
wa,64
ass,63
Method,63
Now,60
movin,60
baby,59
uh,58
If,57
What,57
When,57
wanna,56
My,55
Is,55
give,51
But,51
hit,50
son,49
rap,49
life,47
Get,45
So,45
Wu,45
won,42
head,42
day,42
Ya,41
gotta,41
style,41
Let,40
high,39
cha,38
big,38
Hey,38
Me,38
comin,38
game,37
good,37
ride,36
Smith,36
check,36
Come,35
ve,35
put,35
All,35
meen,35
problem,35
Cause,34
dog,33
live,33
In,33
world,33
Who,32
flow,32
tical,32
feel,32
mother,32
Then,32
No,32
stop,31
mind,31
party,30
call,30
Just,30
break,30
bring,29
long,29
street,29
spit,29
Tang,29
kill,29
money,28
hard,28
To,28
blow,28
hands,28
hold,27
For,27
walk,27
feeling,27
wit,27
