word,frequency
The,1037
man,687
Nas,671
back,662
love,624
world,530
But,525
time,499
ain,496
My,481
life,470
real,439
We,421
em,399
Cause,384
So,346
ya,333
wanna,331
If,320
make,314
When,302
They,301
money,293
mine,292
Now,287
To,268
That,265
This,264
What,258
black,254
Yeah,251
yeah,251
hard,249
No,249
He,247
made,246
yo,239
streets,231
Yo,225
good,222
God,220
put,214
In,203
hood,202
gotta,200
wit,198
live,192
girl,189
feel,189
die,187
day,187
baby,186
rap,183
give,181
shot,177
big,177
stop,176
mind,175
won,175
hit,173
ve,173
She,173
son,171
night,170
ass,170
Jones,168
change,168
All,167
hate,165
One,165
stay,165
people,165
Who,165
Don,164
thing,162
hold,161
round,158
hop,156
things,153
game,153
Get,153
home,152
gun,152
Life,151
kid,150
New,149
play,149
gonna,148
young,147
face,145
block,144
call,141
For,140
watch,139
mic,137
wally,136
Like,134
hip,133
Nah,131
Just,131
