word,frequency
girl,625
ya,486
wanna,482
ain,461
back,365
yeah,346
She,341
man,328
baby,305
make,294
time,277
Nelly,273
boy,273
da,253
But,247
yo,245
If,240
uh,232
Hey,231
hey,222
body,220
So,211
feel,209
money,206
em,202
good,199
Cause,198
gon,188
love,187
leave,183
ah,178
We,170
Now,166
hot,164
gotta,162
wings,154
life,151
club,147
Big,146
See,142
Oh,140
All,137
lookin,134
day,134
live,133
No,133
wit,133
call,128
My,127
ma,127
na,127
fly,126
bout,126
ve,126
head,125
The,124
flap,121
Let,120
give,120
What,119
Uh,117
Yeah,115
show,115
girls,114
home,113
gettin,113
gonna,113
Don,111
night,108
eagle,108
aint,106
clothes,105
grill,103
thing,101
ride,100
Girl,100
put,99
real,99
long,98
That,97
shorty,97
stop,95
When,94
ass,94
shawty,92
fo,91
play,90
world,89
hit,88
somethin,87
Come,87
won,86
tonight,86
top,85
Man,84
game,81
work,81
sweat,81
hurr,80
Drop,80
