word,frequency
love,756
ain,621
wanna,467
back,430
em,428
make,415
We,403
Cause,402
na,394
Nicki,383
But,376
yeah,370
The,362
ya,361
time,358
My,337
ass,321
money,311
girls,303
So,300
If,300
bad,288
girl,264
He,255
good,255
stupid,255
She,250
life,240
This,238
Yeah,233
put,233
gotta,226
When,221
boom,217
They,216
That,209
give,209
dem,207
Now,205
ma,204
All,202
gonna,200
yo,199
fly,198
ve,197
baby,195
hoe,193
gon,192
call,189
bang,188
night,187
Baby,176
boy,176
chick,172
Who,171
feel,169
fire,167
mma,166
Let,165
tonight,164
real,159
What,154
Minaj,150
Don,148
Oh,146
bout,146
play,146
Like,143
hit,143
man,142
es,136
high,136
girlfriend,135
hoes,134
pum,132
show,131
face,130
Your,129
young,129
Get,127
game,127
Yo,126
party,124
Got,123
world,123
ready,123
run,121
heart,121
Can,119
big,119
Money,118
top,117
hard,117
ohh,117
Take,116
How,115
stop,114
Just,113
These,113
Buck,112
