word,frequency
yeah,527
wanna,264
Yeah,198
ooh,194
young,190
ain,168
She,150
money,127
baby,124
die,121
feel,114
Now,107
But,106
Post,104
What,98
time,98
They,96
We,95
Oh,91
Cause,90
ayy,90
made,88
life,86
long,83
When,79
gon,78
man,77
So,77
My,77
Austin,72
call,71
Tell,69
night,69
Ooh,69
ve,66
back,65
Got,65
make,63
love,63
hit,62
Louis,62
Bell,62
Can,61
Chan,61
top,59
watch,58
bad,58
hard,56
thought,56
show,55
damn,55
God,55
mama,50
give,49
bands,48
gonna,48
friends,48
big,47
em,47
won,47
Don,47
No,46
talkin,45
Wow,45
ballin,45
Jackie,45
diamonds,44
ball,44
cold,44
drop,43
fault,41
Said,40
goin,40
Like,39
told,39
run,39
kick,39
lied,39
deja,39
vu,39
til,38
If,38
That,38
shot,38
bottles,37
swaggin,37
understand,37
hundred,36
tryna,36
Say,36
Walsh,36
lot,35
Just,35
wrist,35
lil,34
Billy,34
All,33
hoes,33
door,33
The,33
