word,frequency
bom,92
The,49
yo,48
real,45
We,44
de,40
make,37
man,36
But,35
give,35
end,33
wanna,32
chu,32
gettin,32
uh,30
Do,29
heart,29
ya,28
love,28
back,28
time,28
thing,28
Now,28
yeah,27
vivrant,26
wit,26
things,25
ain,25
All,25
Oh,24
put,24
found,24
feel,24
So,23
Don,23
gotta,23
Life,23
Come,22
wait,22
Uh,21
Let,20
This,19
hey,19
hit,18
Wait,18
Get,18
Your,17
Yo,17
hard,17
life,17
move,17
trade,17
She,16
play,16
breaking,16
bring,16
nothin,15
boy,15
Yeah,15
ass,15
people,15
stay,15
That,14
For,14
When,14
Renaissance,14
Tip,13
doin,13
What,13
home,13
rap,13
good,13
My,13
inside,13
Keep,13
game,13
stop,13
leave,12
hot,12
baby,12
De,12
Cause,12
breathe,12
woman,12
hooking,12
Here,12
wouldn,12
Said,12
lookin,11
check,11
girl,11
work,11
mind,11
Right,11
Hey,11
higher,11
uhh,11
Just,10
dance,10
ride,10
