word,frequency
yeah,589
Yeah,204
She,157
body,126
forever,125
money,123
skrrt,114
ay,112
back,108
We,103
wanna,103
No,103
em,100
Oh,91
woo,89
time,88
love,87
Woo,83
gon,82
But,76
girl,75
baby,73
ain,72
bout,69
wrist,67
good,66
Pull,65
Hey,65
Two,64
make,63
talk,63
ve,62
told,60
push,60
Lamb,58
All,57
put,56
That,56
ma,55
skrr,55
Don,54
cap,54
hundred,54
Huncho,54
catch,53
Cause,52
God,52
bottles,52
gotta,50
check,50
Go,50
na,50
Push,50
uh,49
killin,49
If,48
What,48
Got,48
life,48
hey,48
beg,48
Keep,48
real,47
pull,47
hit,47
yo,47
shut,47
strip,46
drink,46
Big,45
thousand,45
The,44
Who,43
tough,43
big,42
bro,42
bad,41
Look,41
hop,41
Uh,41
When,40
On,40
lil,40
top,40
My,39
give,39
man,39
Forever,39
Not,38
This,38
house,37
goin,37
fell,36
ooh,36
rich,35
trap,35
bag,35
call,35
They,35
Take,35
