word,frequency
The,250
time,203
long,192
uh,165
So,164
mic,156
back,152
make,129
When,127
microphone,124
Rakim,121
But,119
love,117
em,117
They,96
stay,93
ya,90
show,87
ain,81
rhyme,81
My,81
world,79
wanna,79
night,78
hear,74
hit,70
In,69
We,68
If,67
God,66
crowd,65
hot,63
From,63
mind,62
hold,61
yo,61
To,61
hard,60
remember,60
stop,59
fiend,58
style,57
town,56
man,56
flow,55
real,54
Then,54
huh,54
put,52
Yo,49
sound,49
Don,49
drop,49
Put,47
turn,46
start,46
feel,46
Allah,46
city,45
rhymes,45
soloist,44
Cause,44
til,44
find,43
She,43
life,43
That,42
blow,42
New,41
words,40
For,40
Let,39
made,38
wait,38
yeah,38
money,38
won,37
rock,37
day,36
rakim,36
soul,36
check,36
beat,36
Like,36
incredible,36
game,35
With,35
York,35
play,34
DJ,34
rap,34
control,34
ghetto,33
Now,33
give,33
write,32
leader,32
Promise,32
cuts,31
wit,31
