word,frequency
money,564
time,472
back,448
em,396
ain,388
wanna,377
The,357
boy,322
We,320
love,320
yeah,299
She,294
boss,279
big,271
My,268
All,263
make,263
baby,251
life,239
gotta,228
man,227
They,225
But,224
That,214
real,186
ya,182
In,180
Yeah,180
When,178
put,178
Got,175
day,175
Ross,170
Maybach,166
If,164
God,161
This,156
rich,156
white,156
top,150
So,150
city,145
world,143
die,139
Now,137
call,137
hundred,136
hit,134
hold,134
girl,133
Cause,133
Roberts,132
Just,131
feel,131
made,129
bad,127
Oh,126
Get,126
cash,125
game,122
bout,122
Can,122
mind,122
give,121
Rick,120
mine,118
head,118
William,117
Gucci,116
Big,115
da,115
block,112
trap,112
house,112
live,110
gon,106
Let,106
play,106
ma,104
dance,104
home,102
million,101
things,101
buy,100
sky,99
til,98
Music,96
told,96
These,96
young,95
hood,95
work,94
boys,93
black,93
No,93
night,93
es,93
pray,93
ass,92
good,92
