word,frequency
ain,457
But,381
back,313
So,304
time,286
mother,275
ass,252
man,246
ya,242
The,242
love,241
mutha,233
life,224
Cause,205
eyes,189
money,173
My,169
Now,167
game,158
die,157
make,156
girl,155
real,155
wanna,149
baby,141
That,131
He,130
ma,130
day,128
em,125
tat,122
We,120
gotta,120
world,119
give,117
Look,114
block,110
heart,101
They,100
power,98
feel,97
gonna,94
All,94
face,93
roll,93
put,92
tryin,91
hoes,91
yeah,91
ve,89
stop,88
hood,88
good,86
Just,86
If,85
gon,85
Let,84
streets,83
hit,83
made,82
Money,81
wit,79
When,79
run,77
hear,77
mind,77
gettin,74
born,74
Don,73
black,73
This,72
long,70
Chorus,70
live,69
place,69
yo,69
To,68
She,68
head,67
In,67
house,67
Yeah,67
show,66
home,66
aint,65
start,64
thought,64
dead,64
Scarface,63
goin,63
hard,62
kill,62
boy,59
Cuz,59
change,59
play,58
What,57
homies,56
bring,56
stay,55
