word,frequency
love,1287
ain,1047
Dogg,1010
back,962
wanna,943
Snoop,937
But,763
em,744
We,736
ya,734
make,706
yeah,682
So,675
time,671
The,589
Now,567
Yeah,556
baby,524
man,514
When,479
game,456
That,450
life,450
yo,436
put,432
money,432
leave,429
real,417
la,413
Cause,403
give,391
She,388
Don,388
My,384
girl,371
If,367
good,365
stop,353
What,349
They,347
gotta,338
hit,333
gonna,331
Let,324
gangsta,322
ass,322
world,316
call,308
side,306
big,304
This,299
mother,291
rock,291
day,290
Never,287
No,286
gon,285
hoes,282
bout,276
ve,273
All,268
Oh,268
feel,265
dogg,265
wit,261
To,258
smoke,256
hood,256
double,253
Doggy,249
show,245
hard,229
stay,228
ride,228
party,226
bad,223
One,220
ma,220
head,218
uh,217
Just,216
home,214
With,212
homies,210
high,205
na,205
Me,204
low,201
Ain,201
roll,201
Get,200
play,197
For,193
See,189
mind,188
Pound,186
Can,184
He,183
won,183
night,181
