word,frequency
Biggie,289
The,266
back,255
ain,241
love,221
wanna,212
ya,201
money,163
man,155
make,147
em,146
baby,144
No,140
uh,132
Now,128
We,126
Cause,123
All,123
That,117
ass,117
So,114
But,111
yeah,104
call,104
hit,103
time,102
What,101
give,101
day,99
When,96
My,93
yo,91
To,91
Get,90
die,88
life,88
mother,84
If,84
One,83
chance,83
Notorious,82
girl,81
mad,80
hear,79
With,78
She,75
real,75
beef,75
head,73
live,73
Cali,73
huh,71
game,70
dead,69
Big,69
hoes,69
Don,69
Come,69
big,68
nasty,68
In,67
They,67
good,66
Sometimes,65
Yeah,64
wit,63
mon,62
heard,61
Can,59
death,58
broke,57
show,57
black,56
door,56
Poppa,56
motherf,56
feel,55
wrong,55
Who,55
crew,55
put,55
gonna,55
party,55
stop,54
check,54
ma,54
hard,53
front,53
Uh,52
Got,52
gettin,50
Smalls,50
paid,49
This,49
run,49
tonight,48
struggle,48
mine,47
Just,47
start,47
