word,frequency
ain,1053
But,707
game,638
Cause,599
ass,584
stop,570
wanna,529
Too,528
make,509
hort,501
back,495
Short,480
love,468
She,456
time,451
money,449
hoes,447
baby,428
The,419
em,410
player,406
life,404
rap,398
So,397
real,389
We,360
ya,355
girl,341
gotta,330
man,329
yo,323
big,317
If,309
good,305
pimp,300
Don,294
All,293
Now,280
house,277
When,275
Get,272
day,264
call,261
That,259
bout,231
hit,230
give,227
hard,216
top,215
long,215
hoe,214
ghetto,213
won,202
put,198
freak,197
night,195
play,191
Just,188
In,188
es,183
beat,181
They,180
Can,180
What,178
gettin,176
tryin,166
nothin,166
Oakland,165
short,165
mother,165
young,164
funk,161
rappin,160
My,158
stay,158
Dog,157
pimpin,156
made,155
fat,154
nasty,153
Dum,148
damn,143
Like,143
wit,142
yeah,142
thing,141
mic,138
Yeah,138
head,137
bad,134
face,132
mack,131
gonna,129
gon,129
feel,129
dog,128
school,127
years,127
To,127
told,126
