word,frequency
yeah,1180
Yeah,513
night,319
We,299
ain,294
She,265
back,256
All,204
side,199
time,198
Don,198
money,189
love,188
high,188
Only,182
gon,177
Oh,171
That,168
straight,165
wanna,163
make,160
trill,159
em,144
alright,137
pop,136
baby,131
When,129
My,125
The,123
This,119
show,119
real,118
mama,118
ve,116
lit,115
They,114
Got,111
hit,107
feel,106
If,105
life,105
gotta,104
hot,104
Call,102
But,100
Let,99
touch,99
put,94
day,93
drunk,91
friends,91
Know,90
On,89
tryna,89
man,88
bad,87
yah,87
Now,86
ya,86
God,86
young,83
hoes,81
In,81
top,77
girl,77
No,76
Ain,76
mamacita,73
Scott,72
roll,72
Jesus,72
flying,72
ma,71
play,70
made,70
late,70
goin,69
So,69
pull,68
mind,68
club,68
ride,68
Straight,67
uh,66
bout,66
watch,66
La,66
whoa,66
Ooh,65
Never,64
give,63
skrrt,63
long,63
call,63
Damn,62
What,61
Travis,60
Flame,60
sky,60
order,58
