word,frequency
ya,1124
ain,1094
life,845
time,802
die,743
But,687
Now,641
baby,625
So,612
make,610
tha,604
love,602
We,593
wanna,578
game,577
The,553
world,533
Cause,519
man,518
back,516
feel,497
My,495
mother,447
thug,442
How,437
em,435
They,415
money,403
When,398
God,395
ass,384
live,380
real,378
give,376
To,375
In,374
That,370
gettin,365
day,357
If,357
gotta,329
ride,325
Don,308
All,303
What,299
hard,293
tryin,282
Ain,280
eyes,279
head,278
Thug,276
No,275
young,274
mind,270
party,269
black,260
ghetto,259
Got,256
Me,253
dead,247
Can,246
livin,244
good,241
high,241
This,238
hear,238
night,236
stay,235
2Pac,231
homies,231
heart,228
nuttin,226
mama,226
put,224
pain,223
Shake,222
cry,221
gonna,220
peace,220
Let,217
streets,216
la,212
home,206
death,206
Just,205
hit,204
til,204
find,202
made,202
gangsta,202
fast,201
Lord,201
ve,197
long,195
place,192
Yeah,190
goin,188
stop,187
tears,187
call,186
