word,frequency
ain,1233
money,1000
yeah,681
We,580
high,521
wanna,513
make,501
em,489
But,472
Yeah,455
love,453
baby,435
All,423
man,423
roll,414
So,406
The,404
They,402
gang,397
smoke,395
real,390
That,384
Don,384
My,381
time,371
back,370
When,367
Cause,350
Got,348
hard,345
bout,341
gon,337
This,324
Now,322
gotta,315
life,303
night,297
call,292
Khalifa,280
If,275
She,269
game,265
Wiz,261
feel,260
stay,259
Taylor,257
hit,256
good,256
No,248
day,237
ya,233
On,224
girl,221
talk,219
big,215
young,212
tryna,212
give,205
paper,203
goin,203
bad,202
yellow,200
hoes,198
What,197
put,194
Gang,194
long,192
fly,190
thing,190
top,187
change,186
Get,185
play,183
ass,180
gettin,179
Let,179
club,174
made,173
Ain,172
In,171
Uh,168
plane,167
gonna,166
Oh,165
ve,164
ma,164
aint,163
car,159
grow,158
uh,157
rolling,157
kill,155
smoking,153
won,152
spend,152
full,151
home,150
Just,148
lot,148
leave,146
