word,frequency
yeah,677
uh,330
wanna,314
Yeah,304
ayy,268
huh,260
ooh,252
love,242
Oh,239
God,239
feel,231
She,228
My,216
damn,190
won,175
So,169
ain,164
girl,161
aye,161
Hey,158
yuh,157
What,153
gon,153
head,150
pain,149
time,141
Ayy,139
back,132
All,132
Don,131
Ooh,129
test,128
make,127
We,126
That,125
heart,123
The,122
man,118
mind,117
boy,117
Jahseh,116
life,115
give,114
Like,114
Onfroy,113
woah,111
em,110
hey,104
put,103
money,102
baby,101
No,100
night,99
god,99
hit,99
tch,99
If,97
Woah,95
ve,92
ma,91
Get,91
Look,90
run,88
wet,87
This,84
But,84
hold,84
Uh,83
In,82
Cause,82
ay,82
die,80
Why,79
John,78
When,77
gonna,76
Huh,76
wrist,75
sad,72
Okay,72
eat,70
duh,70
ya,69
suck,69
fall,68
yah,68
XXXTENTACION,68
Pull,67
Just,67
Girl,66
bro,66
soul,64
bad,64
stay,64
Who,63
lil,63
damnit,63
moonlight,63
face,62
end,62
