word,frequency
想要,1602
时间,1316
世界,1227
真的,1197
不想,1147
生活,1117
兄弟,1070
wanna,1000
感觉,892
音乐,865
love,817
喜欢,817
baby,778
yeah,777
不用,768
老子,763
像是,696
希望,616
说唱,615
我要,615
离开,614
We,607
有人,607
身边,589
朋友,587
money,585
feel,578
我会,566
永远,562
变得,549
告诉,541
未来,530
看着,527
也许,516
母带,516
back,514
梦想,488
不到,483
选择,479
da,479
不停,477
My,471
man,469
人生,468
记得,463
AR,463
real,461
回到,454
城市,454
妈妈,454
生命,449
Hook,448
一点,444
Yeah,440
night,429
life,425
面对,425
快乐,422
time,417
make,415
现实,411
忘记,405
Oh,403
自由,395
地方,393
flow,392
girl,391
故事,390
只能,390
ya,380
特别,379
发现,377
声音,376
唯一,367
等待,366
灵魂,364
眼睛,360
Cee,360
孩子,357
烦恼,355
歌词,352
回家,352
回忆,351
努力,350
So,347
就让,345
留下,344
经历,344
害怕,330
哥们,324
学会,324
好像,321
day,320
明天,320
几个,319
成功,317
改变,316
习惯,315
明白,314
good,312
这是,312
讨厌,309
听到,306
身体,306
All,303
早就,300
beat,300
Ice,300
慢慢,299
天空,297
Don,297
rapper,293
Let,292
首歌,287
东西,284
跟着,283
boy,280
感谢,279
孤独,278
内心,277
im,277
游戏,276
期待,275
节奏,275
录音,275
dont,274
hey,272
Baby,270
长大,270
一路,270
rap,270
从来不,269
Paper,269
开心,269
代表,268
肯定,268
一步,267
打开,265
party,265
关系,265
谢帝,264
反正,263
享受,261
hiphop,261
年轻,260
一场,258
呼吸,257
But,256
放弃,256
夜晚,254
No,252
Lu1,252
Verse,250
依然,250
爸爸,248
感受,247
找到,246
give,245
担心,245
燃烧,245
kill,241
不在乎,241
事情,241
美丽,240
die,239
长沙,239
身上,238
What,237
寻找,237
啥子,237
真实,236
依旧,236
随便,235
老板,235
太多,233
今晚,232
babe,231
女孩,231
晓得,230
回头,229
好多,229
拥有,228
na,228
Nod,228
眼神,227
一种,227
命运,227
电话,225
街头,224
办法,224
家里,224
The,223
终于,222
越来越,221
简单,220
满舒克,220
机会,219
对手,219
Turn,218
空气,218
欲望,218
说话,216
时代,216
两个,215
爱情,214
黑暗,214
ain,214
game,212
gotta,211
眼泪,211
此刻,211
疯狂,211
阳光,211
夜里,209
gonna,209
寂寞,209
怀疑,208
微笑,208
北京,207
想起,206
面前,206
young,205
英雄,205
That,204
high,204
style,204
遇见,203
Just,202
每次,201
心中,201
只想,201
run,201
la,200
call,199
太阳,199
无所谓,199
时光,198
感到,197
Money,196
手机,195
Feezy,195
眼里,194
happy,194
醒来,193
Get,193
没法,193
路上,193
再见,192
名字,191
南征北战,191
力量,190
thing,190
骄傲,189
world,188
房间,188
在乎,187
没人,187
小心,187
第一次,187
song,186
show,186
电影,185
公司,185
保护,185
背后,185
talk,184
WE,184
麻烦,183
早已,182
Studio,182
福克斯,182
再也,181
mind,180
Like,180
押韵,178
wow,178
男孩,177
艾热,177
之间,176
homie,176
只会,175
痛苦,175
If,175
文化,175
放下,174
沉默,174
快点,174
过程,174
宇宙,174
MC,174
记住,173
trap,173
上帝,172
失败,172
radio,172
Ty,172
衣服,171
光光,171
stop,171
带你去,171
